[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1223035272.812000 10/3/2008, 2:01:12 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 72

INFO, NAME, TbMnO3 TF on LaAlO3
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, Rectangular
INFO, COMMENT, Probe von Joost 7125
INFO, SEQUENCE FILE: RSO-0Field-2K-300K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1223035982.046,,2.010709e+004,1.992507e+000,-5.752927e-004,7.175254e-007,0.000000e+000,0.000000e+000,2,9.871188e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,1.011968e-003,0,,0,
1223036014.265,,2.128961e+004,1.994802e+000,-6.205065e-004,1.107425e-006,0.000000e+000,0.000000e+000,2,9.875538e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,7.330179e-004,0,,0,
1223036047.015,,2.247357e+004,1.996903e+000,-6.675309e-004,3.290212e-006,0.000000e+000,0.000000e+000,2,9.859658e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,6.749630e-004,0,,0,
1223036080.125,,2.365682e+004,1.998639e+000,-7.183795e-004,3.539348e-006,0.000000e+000,0.000000e+000,2,9.857352e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,2.250671e-004,0,,0,
1223036114.171,,2.483788e+004,1.999455e+000,-7.745792e-004,1.850057e-006,0.000000e+000,0.000000e+000,2,9.853069e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,3.700256e-004,0,,0,
1223036149.109,,2.602257e+004,1.999522e+000,-8.288142e-004,1.264776e-006,0.000000e+000,0.000000e+000,2,9.855998e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,1.640320e-004,0,,0,
1223036189.171,,2.720509e+004,1.999882e+000,-8.869452e-004,7.275682e-006,0.000000e+000,0.000000e+000,2,9.858764e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,6.790161e-004,0,,0,
1223036223.109,,2.838833e+004,1.999517e+000,-9.384551e-004,2.023995e-006,0.000000e+000,0.000000e+000,2,9.840631e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,1.230240e-004,0,,0,
1223036259.046,,2.957156e+004,1.999229e+000,-9.977728e-004,1.282845e-006,0.000000e+000,0.000000e+000,2,9.850074e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,1.229048e-004,0,,0,
1223036294.234,,3.075480e+004,1.999240e+000,-1.054962e-003,2.915706e-007,0.000000e+000,0.000000e+000,2,9.849772e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,4.719496e-004,0,,0,
