[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1222958089.968000 10/2/2008, 4:34:49 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 72

INFO, NAME, TbMnO3 TF on LaAlO3
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, Rectangular
INFO, COMMENT, Probe von Joost 7125
INFO, SEQUENCE FILE: RSO-0Field-2K-300K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1222962224.984,,1.000000e+002,1.906393e+001,-3.898740e-006,1.738404e-008,6.992049e-002,1.623773e-004,3,9.113116e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.177711e-001,0,,0,
1222962462.265,,1.000000e+002,2.005640e+001,-3.860353e-006,1.045498e-008,6.534693e-002,5.032374e-004,3,9.096410e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.475899e-002,0,,0,
1222962704.687,,1.000000e+002,2.106300e+001,-3.773750e-006,4.145250e-009,6.290793e-002,3.416575e-003,3,9.098934e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.111393e-001,0,,0,
1222962941.468,,1.000000e+002,2.205420e+001,-3.712143e-006,9.386034e-009,5.563129e-002,3.653797e-003,3,9.088311e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.000595e-001,0,,0,
1222963182.000,,1.000000e+002,2.305877e+001,-3.628481e-006,8.963543e-009,5.174433e-002,2.673314e-003,3,9.076896e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.604073e-002,0,,0,
1222963422.078,,1.000000e+002,2.405952e+001,-3.547434e-006,7.859178e-009,4.934929e-002,3.094140e-003,3,9.082095e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.006413e-001,0,,0,
1222963661.359,,1.000000e+002,2.505531e+001,-3.467827e-006,1.349288e-008,4.293342e-002,1.687070e-003,3,9.064746e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.070099e-001,0,,0,
1222963905.937,,1.000000e+002,2.607340e+001,-3.389008e-006,9.936869e-009,3.590787e-002,2.724028e-003,3,9.052629e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.178894e-001,0,,0,
1222964145.234,,1.000000e+002,2.706336e+001,-3.314640e-006,4.103366e-009,3.284723e-002,1.289625e-003,3,9.044020e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.144295e-001,0,,0,
1222964385.578,,1.000000e+002,2.807261e+001,-3.236700e-006,9.280176e-009,2.700105e-002,1.288287e-003,3,9.031728e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.170311e-001,0,,0,
